Planets in astrology	1	1.352	http://en.wikipedia.org/wiki/Planets_in_astrology	[]
Astrological sign	0.9633	14.61	http://en.wikipedia.org/wiki/Astrological_sign	['/book/book_subject']
67P/Churyumov–Gerasimenko	0.8723	1.455	http://en.wikipedia.org/wiki/67P/Churyumov–Gerasimenko	['/astronomy/celestial_object', '/astronomy/orbital_relationship', '/astronomy/near_earth_object', '/astronomy/comet', '/astronomy/astronomical_discovery', '/astronomy/star_system_body']
Cassini–Huygens	0.8711	8.667	http://en.wikipedia.org/wiki/Cassini–Huygens	['/projects/project_focus', '/spaceflight/space_mission', '/projects/project', '/symbols/namesake', '/time/event']
New Horizons	0.8615	4.68	http://en.wikipedia.org/wiki/New_Horizons	['/spaceflight/space_mission', '/time/event', '/projects/project_focus']
Nibiru cataclysm	0.8431	1.246	http://en.wikipedia.org/wiki/Nibiru_cataclysm	['/film/film_subject', '/book/book_subject']
Space probe	0.8272	2.981	http://en.wikipedia.org/wiki/Space_probe	[]
NASA	0.816	1.526	http://en.wikipedia.org/wiki/NASA	['/book/financial_support_provider', '/film/film_subject', '/award/award_winner', '/aviation/airport_operator', '/business/employer', '/award/award_nominee', '/projects/project_participant', '/book/book_subject', '/broadcast/producer', '/business/business_operation', '/visual_art/visual_artist', '/book/publishing_company', '/internet/social_network_user', '/fictional_universe/fictional_organization', '/spaceflight/satellite_manufacturer', '/award/award_presenting_organization', '/government/government_agency', '/spaceflight/space_program_sponsor', '/tv/tv_subject', '/computer/software_developer', '/aviation/aircraft_manufacturer', '/spaceflight/space_agency', '/internet/website_owner', '/organization/organization', '/aviation/aircraft_owner']
Europa (moon)	0.7959	6.02	http://en.wikipedia.org/wiki/Europa_(moon)	['/astronomy/celestial_object', '/astronomy/astronomical_discovery', '/astronomy/star_system_body', '/astronomy/moon', '/symbols/namesake', '/fictional_universe/fictional_setting', '/astronomy/orbital_relationship']
Space exploration	0.7939	6.667	http://en.wikipedia.org/wiki/Space_exploration	['/cvg/computer_game_subject', '/exhibitions/exhibition_subject', '/media_common/quotation_subject', '/organization/organization_sector', '/book/periodical_subject', '/book/book_subject', '/tv/tv_subject']
Jupiter	0.7865	24.27	http://en.wikipedia.org/wiki/Jupiter	['/spaceflight/mission_destination', '/symbols/namesake', '/astronomy/star_system_body', '/astronomy/planet', '/astronomy/celestial_object_with_coordinate_system', '/astronomy/celestial_object', '/book/book_subject', '/astronomy/orbital_relationship', '/fictional_universe/fictional_setting']
SpaceX	0.7783	17.5	http://en.wikipedia.org/wiki/SpaceX	['/business/employer', '/spaceflight/rocket_manufacturer', '/spaceflight/rocket_engine_manufacturer', '/business/brand', '/organization/organization', '/business/business_operation', '/spaceflight/rocket_engine_designer', '/spaceflight/satellite_manufacturer']
B612 Foundation	0.7779	1.444	http://en.wikipedia.org/wiki/B612_Foundation	['/organization/non_profit_organization', '/business/employer', '/organization/organization']
Solar System	0.773	7.056	http://en.wikipedia.org/wiki/Solar_System	['/book/book_subject', '/astronomy/star_system', '/astronomy/celestial_object']
Rover (space exploration)	0.7682	2.312	http://en.wikipedia.org/wiki/Rover_(space_exploration)	['/business/product_category']
Planet	0.7646	19.13	http://en.wikipedia.org/wiki/Planet	['/book/book_subject', '/astronomy/celestial_object_category', '/fictional_universe/type_of_fictional_setting']
Spitzer Space Telescope	0.7622	6.666	http://en.wikipedia.org/wiki/Spitzer_Space_Telescope	['/spaceflight/spacecraft', '/spaceflight/satellite', '/projects/project_focus', '/astronomy/telescope']
Mars	0.7483	8.663	http://en.wikipedia.org/wiki/Mars	['/astronomy/orbital_relationship', '/astronomy/meteorite_source', '/visual_art/art_subject', '/astronomy/planet', '/symbols/namesake', '/astronomy/celestial_object_with_coordinate_system', '/astronomy/star_system_body', '/book/book_subject', '/astronomy/celestial_object', '/fictional_universe/fictional_setting', '/projects/project_focus', '/spaceflight/mission_destination']
Comet	0.7378	1.384	http://en.wikipedia.org/wiki/Comet	['/astronomy/near_earth_object_classification', '/astronomy/celestial_object_category', '/book/book_subject']
Extraterrestrial liquid water	0.7334	2.105	http://en.wikipedia.org/wiki/Extraterrestrial_liquid_water	[]
